n,seed,branch_policy,lower_bound,incumbent_heuristic,optimal_cost,runtime,nodes_explored,pruned_states,pruning_rate,proof_time,optimality_proven,time_limit_hit,initial_incumbent,incumbent_updates
10,2,nearest,mst,nn_2opt_fast,2635.1808126042833,0.0014292499981820583,183,154,0.8415300546448088,0.0014292499981820583,True,False,2635.1808126042833,0
10,2,nearest,mst,greedy_2opt_fast,2635.1808126042833,0.0014605000615119934,183,154,0.8415300546448088,0.0014605000615119934,True,False,2635.1808126042833,0
10,2,nearest,mst,multistart_2opt_fast,2635.180812604283,0.002090041060000658,183,154,0.8415300546448088,0.002090041060000658,True,False,2635.180812604283,0
10,2,greedy,mst,nn_2opt_fast,2635.1808126042833,0.0014227088540792465,183,154,0.8415300546448088,0.0014227088540792465,True,False,2635.1808126042833,0
10,2,greedy,mst,greedy_2opt_fast,2635.1808126042833,0.0015701660886406898,183,154,0.8415300546448088,0.0015701660886406898,True,False,2635.1808126042833,0
10,2,greedy,mst,multistart_2opt_fast,2635.180812604283,0.0021299999207258224,183,154,0.8415300546448088,0.0021299999207258224,True,False,2635.180812604283,0
10,2,random,mst,nn_2opt_fast,2635.1808126042833,0.001573250163346529,183,154,0.8415300546448088,0.001573250163346529,True,False,2635.1808126042833,0
10,2,random,mst,greedy_2opt_fast,2635.1808126042833,0.001564208883792162,183,154,0.8415300546448088,0.001564208883792162,True,False,2635.1808126042833,0
10,2,random,mst,multistart_2opt_fast,2635.180812604283,0.0021855831146240234,183,154,0.8415300546448088,0.0021855831146240234,True,False,2635.180812604283,0
12,0,lexicographic,trivial,nn_2opt_fast,3413.3373855635255,3.000000541098416,2570853,1880185,0.7313467553376253,,False,True,3442.4340592843037,2
12,0,lexicographic,trivial,greedy_2opt_fast,3413.3373855635255,3.000001208856702,2589773,1892930,0.7309250656331655,,False,True,3453.4663409982863,2
12,0,lexicographic,trivial,multistart_2opt_fast,3413.3373855635255,3.000001957640052,2616477,1913698,0.7314025691798552,,False,True,3455.9841908314916,2
12,0,nearest,trivial,nn_2opt_fast,3413.3373855635255,3.000005166977644,2233678,1629972,0.7297255916027288,,False,True,3442.4340592843037,1
12,0,nearest,trivial,greedy_2opt_fast,3413.3373855635255,3.000005125068128,2085202,1516876,0.727447988252457,,False,True,3453.4663409982863,1
12,0,nearest,trivial,multistart_2opt_fast,3413.3373855635255,3.0000054999254644,2214947,1615000,0.7291370854471912,,False,True,3455.9841908314916,1
12,0,greedy,trivial,nn_2opt_fast,3413.3373855635255,3.0000009168870747,2009458,1461913,0.7275160764743528,,False,True,3442.4340592843037,1
12,0,greedy,trivial,greedy_2opt_fast,3413.3373855635255,3.00000087544322,2029789,1476802,0.7275642936285496,,False,True,3453.4663409982863,1
12,0,greedy,trivial,multistart_2opt_fast,3413.3373855635255,3.0000005420297384,2028523,1475779,0.7275140582581514,,False,True,3455.9841908314916,1
12,0,random,trivial,nn_2opt_fast,3413.337385563526,3.000004875008017,2232862,1646206,0.7372627596331525,,False,True,3442.4340592843037,1
12,0,random,trivial,greedy_2opt_fast,3413.337385563526,3.0000045839697123,2230689,1643656,0.7368378110978268,,False,True,3453.4663409982863,1
12,0,random,trivial,multistart_2opt_fast,3413.337385563526,3.000004999805242,2269894,1670097,0.7357599077313742,,False,True,3455.9841908314916,2
12,0,lexicographic,mst,nn_2opt_fast,3413.3373855635255,0.023253750056028366,3120,2580,0.8269230769230769,0.023253750056028366,True,False,3442.4340592843037,2
12,0,lexicographic,mst,greedy_2opt_fast,3413.3373855635255,0.02232683403417468,3145,2600,0.8267090620031796,0.02232683403417468,True,False,3453.4663409982863,2
12,0,lexicographic,mst,multistart_2opt_fast,3413.3373855635255,0.023810457903891802,3145,2600,0.8267090620031796,0.023810457903891802,True,False,3455.9841908314916,2
12,0,nearest,mst,nn_2opt_fast,3413.3373855635255,0.020589707884937525,2758,2287,0.8292240754169689,0.020589707884937525,True,False,3442.4340592843037,1
12,0,nearest,mst,greedy_2opt_fast,3413.3373855635255,0.020320334006100893,2760,2288,0.8289855072463768,0.020320334006100893,True,False,3453.4663409982863,1
12,0,nearest,mst,multistart_2opt_fast,3413.3373855635255,0.02174579119309783,2760,2288,0.8289855072463768,0.02174579119309783,True,False,3455.9841908314916,1
12,0,greedy,mst,nn_2opt_fast,3413.3373855635255,0.02092570811510086,2758,2287,0.8292240754169689,0.02092570811510086,True,False,3442.4340592843037,1
12,0,greedy,mst,greedy_2opt_fast,3413.3373855635255,0.020659958943724632,2760,2288,0.8289855072463768,0.020659958943724632,True,False,3453.4663409982863,1
12,0,greedy,mst,multistart_2opt_fast,3413.3373855635255,0.021933082956820726,2760,2288,0.8289855072463768,0.021933082956820726,True,False,3455.9841908314916,1
12,0,random,mst,nn_2opt_fast,3413.3373855635255,0.022150584030896425,2998,2486,0.829219479653102,0.022150584030896425,True,False,3442.4340592843037,2
12,0,random,mst,greedy_2opt_fast,3413.3373855635255,0.023248459212481976,3103,2572,0.8288752819851757,0.023248459212481976,True,False,3453.4663409982863,2
12,0,random,mst,multistart_2opt_fast,3413.3373855635255,0.024891916662454605,3115,2581,0.8285714285714286,0.024891916662454605,True,False,3455.9841908314916,2
12,1,lexicographic,trivial,nn_2opt_fast,2849.3329717576503,2.3410210832953453,1997494,1494328,0.7481013710178854,2.3410210832953453,True,False,2849.3329717576503,0
12,1,lexicographic,trivial,greedy_2opt_fast,2849.3329717576503,2.3215669579803944,1997494,1494328,0.7481013710178854,2.3215669579803944,True,False,2849.3329717576507,1
12,1,lexicographic,trivial,multistart_2opt_fast,2849.3329717576503,2.3434187909588218,1997494,1494328,0.7481013710178854,2.3434187909588218,True,False,2849.3329717576507,1
12,1,nearest,trivial,nn_2opt_fast,2849.3329717576503,2.704191166907549,1997494,1494328,0.7481013710178854,2.704191166907549,True,False,2849.3329717576503,0
12,1,nearest,trivial,greedy_2opt_fast,2849.3329717576503,2.694450333248824,1997494,1494328,0.7481013710178854,2.694450333248824,True,False,2849.3329717576507,1
12,1,nearest,trivial,multistart_2opt_fast,2849.3329717576503,2.692710833158344,1997494,1494328,0.7481013710178854,2.692710833158344,True,False,2849.3329717576507,1
